Employee_1D,city,gender,HR Analytics,University Grade,education_level,Has HR expereince,experience,Job changes,Training hours,company_size,Get HR Analytics Job? 
134970,city_103,Male,No relevent experience,Grade 3,,Yes,4,never,,,No
135058,city_27,Male,Has relevent experience,Grade 3,Graduate,Yes,9,2,,<10,Yes
135139,city_102,,No relevent experience,Grade 3,Graduate,Yes,4,never,,,Yes
135182,city_73,,Has relevent experience,Grade 2,Graduate,Yes,7,1,,10000+,Yes
135204,city_16,,No relevent experience,Grade 3,Graduate,Yes,3,1,,<10,Yes
135266,city_67,Male,No relevent experience,Grade 2,Graduate,Yes,16,>4,,,No
135300,city_27,Male,Has relevent experience,Grade 3,Graduate,Yes,9,1,,100-500,Yes
135319,city_173,Male,Has relevent experience,Grade 3,High School,Yes,<1,1,,1-10,Yes
135325,city_102,Male,Has relevent experience,Grade 2,Masters,Yes,11,2,,,No
135416,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,3,1,,1-10,No
135484,city_75,Male,Has relevent experience,Grade 3,Phd,Yes,>20,>4,,,Yes
135493,city_16,Male,Has relevent experience,Grade 2,Phd,Yes,16,>4,,5000-9999,Yes
135575,city_104,,No relevent experience,Grade 3,High School,Yes,5,,,100-500,Yes
135663,city_33,Male,No relevent experience,Grade 3,Graduate,Yes,4,2,,,No
135674,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,<1,1,,100-500,No
135747,city_103,Female,No relevent experience,Grade 1,Graduate,No,>20,4,,10000+,Yes
135802,city_21,Male,No relevent experience,Grade 3,High School,Yes,<1,never,,,No
135831,city_16,Male,No relevent experience,Grade 1,Graduate,Yes,8,1,,1000-4999,Yes
135849,city_61,Male,Has relevent experience,Grade 3,Graduate,Yes,16,1,,1000-4999,Yes
135893,city_103,Male,Has relevent experience,Grade 2,Phd,Yes,20,3,,10000+,No
135980,city_103,Male,Has relevent experience,Grade 2,Graduate,No,3,3,,1000-4999,Yes
136039,city_16,Male,No relevent experience,Grade 1,Graduate,Yes,17,>4,,10000+,Yes
136092,city_21,Male,No relevent experience,Grade 2,High School,Yes,4,never,,,Yes
136136,city_103,Female,No relevent experience,Grade 1,Graduate,No,2,1,,<10,Yes
136192,city_103,,No relevent experience,Grade 3,High School,Yes,<1,never,,,No
136228,city_103,,No relevent experience,Grade 3,High School,Yes,4,2,,5000-9999,No
136314,city_16,Male,Has relevent experience,Grade 2,Graduate,No,4,3,,50-99,Yes
136413,city_21,,Has relevent experience,Grade 1,,Yes,2,,,1-10,Yes
136512,city_79,,Has relevent experience,Grade 2,Masters,Yes,11,1,,,Yes
136575,city_91,Male,Has relevent experience,Grade 3,High School,Yes,17,1,,50-99,Yes
136597,city_16,,Has relevent experience,Grade 1,Graduate,Yes,>20,3,,50-99,Yes
136607,city_21,,Has relevent experience,Grade 2,Graduate,Yes,11,never,,,Yes
136662,city_21,,Has relevent experience,Grade 3,Graduate,Yes,5,2,,100-500,Yes
136754,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,5,3,,100-500,No
136796,city_21,,No relevent experience,Grade 3,Graduate,No,1,1,,10000+,Yes
136866,city_160,,No relevent experience,Grade 2,High School,Yes,1,1,,500-999,Yes
136934,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,11,2,,100-500,No
136991,city_33,Male,Has relevent experience,Grade 3,Masters,Yes,9,1,,,Yes
137079,city_16,Male,Has relevent experience,Grade 3,Masters,No,10,1,,50-99,Yes
137137,city_159,Male,Has relevent experience,Grade 2,Graduate,Yes,10,2,,,No
137229,city_103,,Has relevent experience,Grade 3,Graduate,Yes,16,3,,1000-4999,Yes
137292,city_103,,Has relevent experience,Grade 2,Graduate,Yes,9,3,,1000-4999,No
137311,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,1-10,Yes
137364,city_105,,Has relevent experience,Grade 3,Graduate,No,3,1,,50-99,Yes
137410,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,10000+,Yes
137476,city_53,Male,No relevent experience,Grade 3,High School,Yes,3,1,,,No
137501,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,5,1,,10000+,No
137527,city_175,Male,No relevent experience,Grade 2,High School,Yes,2,1,,<10,Yes
137583,city_103,Male,Has relevent experience,Grade 3,Graduate,No,5,>4,,10000+,Yes
137658,city_9,Male,Has relevent experience,Grade 3,,Yes,19,2,,1-10,Yes
137754,city_103,,No relevent experience,Grade 3,High School,Yes,5,1,,,Yes
137840,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,11,1,,,Yes
137897,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,7,1,,1000-4999,Yes
137948,city_21,,Has relevent experience,Grade 2,Graduate,Yes,9,1,,,Yes
137999,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,10,1,,10000+,No
138029,city_128,Male,Has relevent experience,Grade 3,Masters,Yes,16,>4,,5000-9999,No
138058,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,3,1,,,Yes
138077,city_101,,Has relevent experience,Grade 3,Graduate,Yes,5,,,500-999,Yes
138168,city_21,,No relevent experience,Grade 3,Graduate,Yes,4,2,,1000-4999,No
138169,city_103,,Has relevent experience,Grade 3,Graduate,Yes,10,2,,100-500,No
138188,city_21,Male,Has relevent experience,Grade 3,Masters,Yes,16,1,,1000-4999,No
138210,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,6,1,,,No
138289,city_26,Other,Has relevent experience,Grade 2,High School,Yes,5,1,,100-500,Yes
138355,city_102,Male,Has relevent experience,Grade 2,Graduate,Yes,16,1,,100-500,Yes
138370,city_114,,No relevent experience,Grade 2,High School,Yes,20,never,,,No
138443,city_160,Male,Has relevent experience,Grade 3,High School,Yes,>20,>4,,1-10,Yes
138467,city_114,Female,Has relevent experience,Grade 3,Primary School,Yes,>20,>4,,1-10,No
138507,city_21,,Has relevent experience,Grade 3,Graduate,Yes,1,1,,100-500,Yes
138520,city_103,Male,Has relevent experience,Grade 1,Masters,Yes,10,3,,,Yes
138604,city_136,Male,Has relevent experience,Grade 3,Graduate,Yes,5,1,,,No
138608,city_21,,Has relevent experience,Grade 1,Masters,Yes,8,1,,50-99,No
138681,city_65,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,1-10,Yes
138768,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,3,2,,100-500,Yes
138839,city_67,Male,Has relevent experience,Grade 3,Masters,Yes,16,2,,100-500,Yes
138876,city_103,Male,No relevent experience,Grade 1,Masters,Yes,>20,2,,10000+,Yes
138903,city_160,Other,No relevent experience,Grade 3,Graduate,Yes,<1,never,,,Yes
138972,city_21,,Has relevent experience,Grade 3,Graduate,No,8,1,,100-500,Yes
139004,city_134,,No relevent experience,Grade 3,Primary School,Yes,6,never,,,No
139065,city_67,Male,Has relevent experience,Grade 3,Masters,Yes,5,1,,10000+,Yes
139136,city_11,Male,Has relevent experience,Grade 3,Masters,Yes,9,2,,,No
139226,city_57,Male,No relevent experience,Grade 3,Masters,Yes,6,>4,,<10,Yes
139235,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,2,never,,50-99,Yes
139310,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,Yes
139395,city_114,Male,Has relevent experience,Grade 3,Graduate,Yes,18,1,,100-500,Yes
139428,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,,Yes
139525,city_26,Male,Has relevent experience,Grade 2,Graduate,Yes,11,2,,<10,Yes
139530,city_77,Male,No relevent experience,Grade 2,Graduate,No,6,1,,,Yes
139601,city_104,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,,Yes
139701,city_104,Male,No relevent experience,Grade 3,High School,Yes,10,3,,1-10,No
139765,city_160,Male,Has relevent experience,Grade 1,Graduate,No,17,1,,1-10,Yes
139813,city_114,Male,Has relevent experience,Grade 3,Graduate,Yes,18,1,,50-99,Yes
139841,city_65,Male,No relevent experience,Grade 3,Graduate,Yes,4,1,,,Yes
139936,city_103,,No relevent experience,Grade 1,High School,Yes,3,never,,,Yes
139990,city_104,Male,No relevent experience,Grade 3,Masters,Yes,3,1,,,Yes
139999,city_1,Male,Has relevent experience,Grade 3,Graduate,Yes,5,2,,50-99,Yes
140034,city_11,,Has relevent experience,Grade 3,Graduate,Yes,8,1,,<10,Yes
140109,city_70,Male,Has relevent experience,Grade 2,Graduate,No,4,1,,10000+,Yes
140185,city_16,Male,Has relevent experience,Grade 3,High School,Yes,4,1,,1-10,Yes
140251,city_123,Female,Has relevent experience,Grade 3,Graduate,Yes,4,2,,50-99,No
140318,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,<1,never,,,No
140332,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,2,,100-500,Yes
140391,city_114,Male,No relevent experience,Grade 2,Masters,Yes,8,1,,100-500,Yes
140421,city_103,Male,Has relevent experience,Grade 1,Phd,Yes,>20,1,,50-99,Yes
140497,city_11,Male,No relevent experience,Grade 3,High School,Yes,4,never,,,No
140513,city_103,Male,Has relevent experience,Grade 1,Graduate,No,>20,>4,,1000-4999,Yes
140598,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,2,,10000+,Yes
140686,city_16,Male,Has relevent experience,Grade 3,High School,Yes,8,2,,,Yes
140757,city_116,Male,Has relevent experience,Grade 1,Graduate,Yes,8,1,,100-500,Yes
140784,city_89,,Has relevent experience,Grade 3,Graduate,No,>20,>4,,5000-9999,No
140868,city_136,,No relevent experience,Grade 1,Graduate,Yes,4,,,,No
140951,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,3,1,,50-99,Yes
141003,city_98,Male,Has relevent experience,Grade 3,Graduate,Yes,11,1,,50-99,No
141041,city_21,Male,No relevent experience,Grade 1,High School,Yes,2,never,,,Yes
141073,city_114,Male,No relevent experience,Grade 3,Phd,No,10,>4,,500-999,Yes
141087,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,10,1,,100-500,Yes
141099,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,3,1,,10000+,Yes
141107,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,>20,4,,1000-4999,Yes
141194,city_175,Male,No relevent experience,Grade 2,Graduate,Yes,6,1,,100-500,Yes
141283,city_67,,Has relevent experience,Grade 3,Graduate,Yes,12,1,,,Yes
141320,city_73,,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,1-10,Yes
141370,city_176,Female,No relevent experience,Grade 1,Graduate,Yes,4,1,,,Yes
141428,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,3,,,Yes
141508,city_61,,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,Yes
141512,city_46,Male,Has relevent experience,Grade 3,Graduate,Yes,4,1,,1-10,Yes
141587,city_16,Male,Has relevent experience,Grade 2,Masters,Yes,16,>4,,100-500,Yes
141629,city_134,,No relevent experience,Grade 2,High School,Yes,4,never,,,No
141639,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,18,1,,100-500,Yes
141678,city_114,Male,Has relevent experience,Grade 1,High School,No,5,1,,1000-4999,Yes
141683,city_16,,Has relevent experience,Grade 1,Graduate,Yes,6,1,,,Yes
141727,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,13,>4,,1000-4999,No
141826,city_103,Male,Has relevent experience,Grade 3,Phd,Yes,9,1,,10000+,Yes
141861,city_28,Male,Has relevent experience,Grade 2,Graduate,Yes,11,>4,,1000-4999,Yes
141892,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,9,1,,100-500,No
141971,city_36,Male,Has relevent experience,Grade 2,Masters,Yes,5,1,,<10,Yes
142046,city_9,,Has relevent experience,Grade 3,Graduate,Yes,6,2,,50-99,Yes
142138,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,Yes
142200,city_138,,Has relevent experience,Grade 2,Graduate,Yes,12,>4,,<10,Yes
142241,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,13,1,,100-500,Yes
142331,city_16,Male,No relevent experience,Grade 3,High School,Yes,4,1,,,No
142355,city_73,Male,No relevent experience,Grade 1,Graduate,Yes,7,never,,,Yes
142385,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,13,never,,50-99,No
142405,city_11,Male,Has relevent experience,Grade 2,Graduate,Yes,3,1,,100-500,Yes
142422,city_99,Male,Has relevent experience,Grade 2,Graduate,No,>20,>4,,50-99,No
142477,city_21,Male,Has relevent experience,Grade 2,High School,Yes,2,never,,,No
142488,city_71,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,4,,50-99,No
142517,city_150,Male,Has relevent experience,Grade 3,Masters,No,>20,>4,,1000-4999,Yes
142598,city_28,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,50-99,Yes
142674,city_123,Male,No relevent experience,Grade 2,Graduate,Yes,10,never,,,No
142772,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,9,never,,100-500,Yes
142828,city_77,,Has relevent experience,Grade 2,Graduate,Yes,<1,1,,100-500,No
142919,city_101,Female,Has relevent experience,Grade 2,Graduate,Yes,7,1,,50-99,Yes
142970,city_83,Male,Has relevent experience,Grade 3,Graduate,Yes,18,>4,,100-500,Yes
143000,city_16,,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,1-10,Yes
143065,city_115,,No relevent experience,Grade 1,Masters,Yes,<1,1,,,Yes
143148,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,100-500,Yes
143206,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,never,,1000-4999,Yes
143248,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,>20,3,,,No
143283,city_104,,Has relevent experience,Grade 3,Graduate,Yes,1,1,,100-500,Yes
143335,city_90,Male,Has relevent experience,Grade 2,Graduate,No,7,1,,,No
143378,city_64,Male,Has relevent experience,Grade 1,Graduate,Yes,9,4,,100-500,Yes
143452,city_123,Male,No relevent experience,Grade 2,Graduate,Yes,7,2,,,No
143482,city_21,,Has relevent experience,Grade 3,Graduate,Yes,6,2,,50-99,No
143549,city_61,Male,Has relevent experience,Grade 3,Phd,Yes,>20,3,,100-500,Yes
143558,city_114,Male,No relevent experience,Grade 2,Graduate,Yes,2,never,,1000-4999,No
143583,city_16,Female,No relevent experience,Grade 1,Masters,Yes,6,4,,10000+,No
143614,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,1-10,Yes
143683,city_16,Male,No relevent experience,Grade 2,Phd,Yes,>20,1,,1000-4999,Yes
143762,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,,Yes
143835,city_114,,No relevent experience,Grade 2,,Yes,11,never,,100-500,Yes
143849,city_21,Male,Has relevent experience,Grade 3,Masters,No,13,2,,1-10,Yes
143862,city_41,Male,Has relevent experience,Grade 2,Graduate,Yes,8,3,,1-10,Yes
143890,city_160,Male,Has relevent experience,Grade 2,Masters,Yes,17,1,,,Yes
143958,city_103,,No relevent experience,Grade 3,Masters,Yes,4,1,,,Yes
144050,city_21,,Has relevent experience,Grade 2,Graduate,Yes,5,1,,100-500,Yes
144111,city_21,,Has relevent experience,Grade 2,Graduate,Yes,4,1,,100-500,No
144171,city_36,Male,Has relevent experience,Grade 2,Masters,Yes,15,3,,50-99,Yes
144210,city_61,Female,Has relevent experience,Grade 2,Masters,Yes,,1,,50-99,No
144259,city_11,Male,Has relevent experience,Grade 2,Graduate,Yes,4,1,,50-99,No
144346,city_75,Male,Has relevent experience,Grade 2,Graduate,Yes,13,4,,50-99,Yes
144435,city_103,,No relevent experience,Grade 3,High School,Yes,3,never,,,Yes
144468,city_103,,Has relevent experience,Grade 3,Graduate,Yes,14,3,,100-500,Yes
144555,city_103,,Has relevent experience,Grade 3,Graduate,No,>20,>4,,,Yes
144574,city_21,Male,No relevent experience,Grade 2,High School,No,<1,never,,,Yes
144627,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,50-99,Yes
144665,city_103,,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,Yes
144690,city_21,,No relevent experience,Grade 1,Graduate,No,4,never,,5000-9999,Yes
144695,city_103,,Has relevent experience,Grade 3,Graduate,Yes,5,2,,100-500,Yes
144780,city_16,Male,Has relevent experience,Grade 2,Graduate,No,>20,1,,100-500,Yes
144811,city_100,Male,No relevent experience,Grade 2,Graduate,Yes,9,1,,,Yes
144821,city_21,,No relevent experience,Grade 3,Graduate,Yes,<1,never,,,Yes
144887,city_10,Male,Has relevent experience,Grade 3,Masters,No,7,>4,,,No
144911,city_21,,Has relevent experience,Grade 2,Masters,Yes,3,2,,50-99,No
144993,city_90,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,2,,50-99,Yes
145073,city_21,,Has relevent experience,Grade 3,Graduate,Yes,7,>4,,50-99,No
145091,city_114,Male,No relevent experience,Grade 2,Masters,No,>20,1,,,Yes
145126,city_152,Male,Has relevent experience,Grade 1,Graduate,Yes,16,>4,,500-999,Yes
145223,city_54,Male,Has relevent experience,Grade 1,Masters,Yes,11,1,,50-99,Yes
145261,city_11,Male,No relevent experience,Grade 3,Graduate,Yes,<1,1,,1-10,Yes
145306,city_21,,No relevent experience,Grade 3,High School,Yes,3,never,,,Yes
145374,city_114,,Has relevent experience,Grade 1,Masters,Yes,9,1,,1-10,Yes
145400,city_114,Male,Has relevent experience,Grade 3,High School,Yes,12,>4,,1-10,No
145462,city_162,Male,Has relevent experience,Grade 1,Graduate,Yes,6,4,,1-10,Yes
145470,city_13,Male,Has relevent experience,Grade 3,High School,Yes,6,2,,500-999,Yes
145502,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,13,2,,100-500,Yes
145510,city_73,Male,Has relevent experience,Grade 3,Masters,Yes,8,1,,50-99,Yes
145530,city_173,Male,No relevent experience,Grade 1,Masters,No,6,2,,,Yes
145606,city_21,Female,Has relevent experience,Grade 2,Graduate,Yes,<1,1,,100-500,Yes
145608,city_74,Male,Has relevent experience,Grade 3,Graduate,Yes,5,1,,<10,Yes
145700,city_104,,Has relevent experience,Grade 2,Graduate,Yes,3,never,,<10,Yes
145744,city_24,Male,No relevent experience,Grade 2,Masters,Yes,>20,>4,,<10,Yes
145844,city_61,Male,Has relevent experience,Grade 1,Graduate,Yes,5,1,,,Yes
145905,city_61,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,1,,,No
145979,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,11,3,,<10,Yes
145999,city_80,Male,No relevent experience,Grade 2,Graduate,Yes,5,1,,,Yes
146015,city_16,,Has relevent experience,Grade 1,Graduate,Yes,5,1,,,Yes
146082,city_97,,No relevent experience,Grade 3,Graduate,Yes,3,3,,,Yes
146131,city_46,Female,Has relevent experience,Grade 3,Masters,Yes,9,2,,100-500,No
146151,city_103,,No relevent experience,Grade 1,Masters,Yes,>20,3,,10000+,Yes
146229,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,4,never,,,Yes
146329,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,5,1,,,No
146390,city_46,Male,No relevent experience,Grade 2,Graduate,Yes,8,1,,10000+,No
146462,city_21,Male,Has relevent experience,Grade 1,Masters,No,10,1,,,Yes
146503,city_114,,No relevent experience,Grade 2,Masters,Yes,2,2,,100-500,No
146600,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,No
146620,city_65,Male,Has relevent experience,Grade 2,Graduate,Yes,6,3,,50-99,Yes
146709,city_16,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,,,Yes
146793,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,,Yes
146797,city_103,Other,Has relevent experience,Grade 1,Graduate,Yes,9,2,,50-99,Yes
146866,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,14,1,,10000+,Yes
146897,city_102,Male,Has relevent experience,Grade 1,Masters,Yes,17,>4,,1-10,Yes
146967,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,100-500,Yes
146972,city_138,Male,No relevent experience,Grade 3,High School,Yes,2,never,,,No
147009,city_21,Male,Has relevent experience,Grade 2,High School,Yes,6,never,,1000-4999,No
147041,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,1-10,Yes
147119,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,7,>4,,5000-9999,Yes
147162,city_16,Male,No relevent experience,Grade 2,High School,Yes,5,never,,,No
147182,city_57,Male,Has relevent experience,Grade 1,Masters,No,13,1,,10000+,Yes
147260,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,7,4,,,Yes
147332,city_103,Male,Has relevent experience,Grade 3,Graduate,No,16,1,,50-99,Yes
147395,city_100,,No relevent experience,Grade 2,Graduate,Yes,5,never,,,Yes
147491,city_64,Male,No relevent experience,Grade 2,Graduate,Yes,2,1,,,Yes
147560,city_16,Male,No relevent experience,Grade 2,Primary School,Yes,2,never,,,No
147639,city_21,Male,No relevent experience,Grade 3,Graduate,Yes,11,1,,,No
147643,city_36,,Has relevent experience,Grade 3,Graduate,Yes,8,>4,,100-500,Yes
147651,city_123,Male,No relevent experience,Grade 3,Masters,Yes,14,>4,,,No
147674,city_114,Male,Has relevent experience,Grade 3,High School,Yes,8,never,,<10,No
147769,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,100-500,Yes
147809,city_73,,Has relevent experience,Grade 3,Masters,Yes,5,1,,5000-9999,Yes
147859,city_21,Male,No relevent experience,Grade 3,High School,Yes,2,never,,,No
147867,city_103,Male,No relevent experience,Grade 3,Masters,Yes,5,1,,5000-9999,No
147876,city_103,Male,No relevent experience,Grade 1,High School,Yes,5,1,,10000+,Yes
147970,city_70,Male,Has relevent experience,Grade 3,Graduate,Yes,9,2,,<10,Yes
147982,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,15,1,,50-99,Yes
148009,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,14,1,,100-500,No
148103,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,4,never,,1-10,Yes
148196,city_103,Male,Has relevent experience,Grade 3,Graduate,No,>20,1,,100-500,Yes
148230,city_160,Male,No relevent experience,Grade 3,Graduate,Yes,>20,>4,,500-999,No
148286,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,11,1,,1000-4999,Yes
148302,city_28,,Has relevent experience,Grade 2,Graduate,Yes,5,>4,,<10,Yes
148310,city_67,Male,No relevent experience,Grade 2,Graduate,Yes,6,1,,,Yes
148355,city_21,Male,Has relevent experience,Grade 3,Graduate,No,2,2,,100-500,No
148440,city_103,Female,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,,No
148467,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,14,1,,50-99,Yes
148565,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,3,,100-500,No
148567,city_99,Male,Has relevent experience,Grade 2,Graduate,No,>20,>4,,500-999,No
148579,city_11,,No relevent experience,Grade 2,Masters,Yes,<1,1,,,Yes
148610,city_41,Male,Has relevent experience,Grade 1,Graduate,No,10,>4,,1000-4999,Yes
148698,city_90,Male,No relevent experience,Grade 1,,Yes,6,4,,,Yes
148768,city_75,Male,No relevent experience,Grade 2,Graduate,Yes,9,1,,1-10,No
148840,city_115,Female,Has relevent experience,Grade 2,Graduate,Yes,3,1,,50-99,Yes
148855,city_103,Male,Has relevent experience,Grade 1,High School,Yes,9,never,,,Yes
148921,city_136,Male,No relevent experience,Grade 3,Masters,Yes,8,4,,5000-9999,No
148949,city_21,,Has relevent experience,Grade 2,Graduate,Yes,<1,never,,50-99,Yes
148952,city_114,,Has relevent experience,Grade 3,Graduate,Yes,13,>4,,,Yes
149006,city_21,,Has relevent experience,Grade 3,Graduate,Yes,2,2,,50-99,Yes
149010,city_99,Male,Has relevent experience,Grade 2,Graduate,Yes,7,>4,,1-10,Yes
149068,city_103,Male,No relevent experience,Grade 1,High School,Yes,2,1,,,No
149098,city_160,Male,Has relevent experience,Grade 1,Graduate,Yes,17,>4,,1-10,Yes
149134,city_16,Male,Has relevent experience,Grade 1,Graduate,Yes,6,2,,50-99,No
149179,city_61,Male,Has relevent experience,Grade 3,Masters,No,>20,>4,,1-10,Yes
149204,city_103,,Has relevent experience,Grade 2,Graduate,Yes,13,1,,1000-4999,Yes
149226,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,>20,2,,,Yes
149297,city_48,,Has relevent experience,Grade 3,Graduate,Yes,2,never,,,No
149355,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,13,3,,,Yes
149371,city_67,,Has relevent experience,Grade 2,Masters,Yes,11,1,,,No
149463,city_160,Male,Has relevent experience,Grade 3,Masters,Yes,>20,2,,<10,Yes
149560,city_114,Male,No relevent experience,Grade 2,Graduate,Yes,11,>4,,,Yes
149622,city_46,Male,No relevent experience,Grade 2,Graduate,No,<1,never,,,No
149704,city_21,Female,Has relevent experience,Grade 2,Graduate,No,5,1,,10000+,Yes
149766,city_40,Male,No relevent experience,Grade 2,Graduate,Yes,4,2,,100-500,Yes
149801,city_21,Female,Has relevent experience,Grade 3,Graduate,Yes,3,2,,10000+,No
149834,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,8,3,,100-500,No
149837,city_75,Male,Has relevent experience,Grade 1,Graduate,Yes,6,>4,,10000+,Yes
149904,city_159,Male,Has relevent experience,Grade 3,Graduate,No,12,4,,500-999,Yes
149908,city_21,Male,No relevent experience,Grade 3,Graduate,Yes,8,1,,10000+,Yes
149990,city_75,Male,Has relevent experience,Grade 2,Phd,Yes,>20,2,,10000+,No
149999,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,6,1,,100-500,No
150011,city_71,Male,Has relevent experience,Grade 1,Graduate,Yes,11,1,,<10,Yes
150095,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,6,2,,500-999,No
150178,city_74,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,1-10,Yes
150227,city_21,Male,Has relevent experience,Grade 2,Graduate,No,3,2,,10000+,Yes
150262,city_138,Male,No relevent experience,Grade 3,Masters,Yes,>20,2,,<10,No
150280,city_21,,Has relevent experience,Grade 1,Graduate,Yes,7,>4,,50-99,Yes
150283,city_67,Male,No relevent experience,Grade 2,High School,Yes,2,1,,50-99,Yes
150342,city_103,Female,Has relevent experience,Grade 2,Graduate,Yes,7,2,,1000-4999,Yes
150375,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,3,never,,,No
150436,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,1-10,No
150456,city_103,Male,Has relevent experience,Grade 3,Primary School,Yes,19,>4,,50-99,Yes
150534,city_50,Male,Has relevent experience,Grade 3,Masters,No,16,>4,,10000+,Yes
150628,city_23,,Has relevent experience,Grade 3,Masters,Yes,18,3,,50-99,No
150648,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,,No
150672,city_11,,No relevent experience,Grade 3,Graduate,Yes,5,1,,,Yes
150721,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,5,never,,10000+,Yes
150814,city_114,Male,Has relevent experience,Grade 2,Masters,Yes,>20,1,,500-999,Yes
150861,city_71,Male,Has relevent experience,Grade 3,Masters,Yes,>20,1,,,Yes
150960,city_71,,No relevent experience,Grade 1,Graduate,Yes,3,1,,1-10,No
150972,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,13,4,,1000-4999,No
151027,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,50-99,Yes
151084,city_114,Female,Has relevent experience,Grade 1,Graduate,Yes,9,1,,100-500,Yes
151119,city_103,Male,No relevent experience,Grade 2,Graduate,No,14,1,,,Yes
